Team Name,Individual Round,Team Round,Gunga Bowl,Total
,,,,
Clarke A,152,110,206,468
when is lunch?,119,105,178,402
Not_Applicable,81,145,125,351
WAMC Blue,104,60,159,323
Greenwich United,81,115,124,320
PA Elite 1,66,100,136,302
Pi-Thon,62,55,132,249
Clarkie Barkies,76,40,126,242
AOPS,67,60,103,230
z^2 Keeps It Real + Pranav,53,40,108,201
,64,65,66,195
,60,50,70,180
,66,30,74,170
,63,35,69,167
,66,30,70,166
,49,30,72,151
,35,40,72,147
,37,40,68,145
,25,40,74,139
,39,30,66,135
,51,15,68,134
,21,40,60,121
,8,15,95,118
,28,40,48,116
,22,20,51,93
,21,15,52,88
,24,20,40,84
,11,20,44,75
,7,15,52,74
,15,10,35,60
